id,status,coord_x,coord_y,time
4609,Dead By Crowd,395693.3108642346,4440955.7943899585,266
2932,Dead By Crowd,395693.2946764808,4440949.363736706,266
74,Dead By Crowd,395693.29346530966,4440948.882593869,266
232,Dead By Crowd,395693.2887543777,4440947.011156338,266
4958,Dead By Crowd,395693.1168115249,4440877.852043462,266
3712,Dead By Crowd,395693.21406661975,4440819.676523056,266
2752,Dead By Crowd,395693.0805164481,4440795.770437397,266
2863,Dead By Crowd,395692.992309909,4440779.679518073,266
4664,Dead By Crowd,395693.00191151554,4440781.431073882,266
3372,Dead By Crowd,395692.90612564987,4440763.957509537,266
894,Dead By Crowd,395692.87389443297,4440758.077787737,266
1392,Dead By Crowd,395692.8401412928,4440747.405976734,266
459,Dead By Crowd,395692.8402623564,4440746.4920691075,266
4362,Dead By Crowd,395692.84087713854,4440741.851088449,266
751,Dead By Crowd,395693.1531948499,4440893.538843336,274
2587,Dead By Crowd,395693.20340411423,4440855.420723911,274
1864,Dead By Crowd,395693.114784984,4440876.978293153,274
3850,Dead By Crowd,395693.25936172745,4440826.621913397,274
4269,Dead By Crowd,395692.9469966809,4440771.4133338975,274
4205,Dead By Crowd,395692.89943981974,4440762.737858996,274
486,Dead By Crowd,395692.8984839472,4440762.5634856615,274
3740,Dead By Crowd,395692.8401771595,4440747.135219223,274
2554,Dead By Crowd,395693.3721969725,4440980.159078025,284
2445,Dead By Crowd,395693.34361635736,4440968.805308463,284
656,Dead By Crowd,395693.1495252846,4440862.1933140205,284
2195,Dead By Crowd,395693.24383780704,4440850.3381928075,284
3844,Dead By Crowd,395693.27841854113,4440845.939105482,284
2507,Dead By Crowd,395693.2238116513,4440821.419012979,284
3511,Dead By Crowd,395693.0298055966,4440786.519601479,284
1633,Dead By Crowd,395692.91696752474,4440765.935319071,284
1656,Dead By Crowd,395692.917822057,4440766.091205574,284
3816,Dead By Crowd,395692.91197254194,4440765.024118314,284
1060,Dead By Crowd,395692.897332057,4440762.353354171,284
4614,Dead By Crowd,395692.85080156237,4440753.865112329,284
1925,Dead By Crowd,395693.36796323804,4440978.4772092085,292
3188,Dead By Crowd,395693.29668726533,4440950.162529302,292
1807,Dead By Crowd,395693.1321392178,4440884.460632716,292
3630,Dead By Crowd,395693.06712319196,4440793.327196715,292
2087,Dead By Crowd,395693.0961072421,4440798.584438776,292
1597,Dead By Crowd,395693.050046906,4440790.212085947,292
376,Dead By Crowd,395693.0412958639,4440788.615692832,292
252,Dead By Crowd,395693.01277256705,4440783.412381679,292
3043,Dead By Crowd,395693.02503031614,4440785.6484795185,292
1066,Dead By Crowd,395693.0072755121,4440782.409591303,292
1850,Dead By Crowd,395692.9856068822,4440778.456730459,292
3292,Dead By Crowd,395692.9212839527,4440766.722735682,292
1021,Dead By Crowd,395692.91854889714,4440766.22379808,292
4132,Dead By Crowd,395692.8466535489,4440753.108418436,292
49,Dead By Crowd,395692.8398701369,4440749.45292817,292
1440,Dead By Crowd,395692.8402685267,4440746.44548978,292
3389,Dead By Crowd,395692.84063071484,4440743.711337103,292
164,Dead By Crowd,396090.4020492809,4441556.583037448,59
1065,Dead By Crowd,396090.351383202,4441535.722436885,59
2988,Dead By Crowd,396090.2569582573,4441496.845122971,59
3941,Dead By Crowd,396090.2543742877,4441495.781232518,59
2545,Dead By Crowd,396090.49419246364,4441594.520887995,60
1818,Dead By Crowd,396090.4961381029,4441595.3219605265,60
3540,Dead By Crowd,396090.3669308137,4441542.123810838,60
4707,Dead By Crowd,396090.3306396652,4441527.181759472,60
2460,Dead By Crowd,396090.3036824245,4441516.082731426,60
3724,Dead By Crowd,396090.3007258304,4441514.865421386,60
4450,Dead By Crowd,396090.3000354486,4441514.581172453,60
1887,Dead By Crowd,396090.2834583815,4441507.75594374,60
6,Dead By Crowd,396090.27595032,4441504.664670932,60
1697,Dead By Crowd,396090.476996997,4441587.441047451,62
1465,Dead By Crowd,396090.336191871,4441529.4677534085,62
2916,Dead By Crowd,396090.27074967395,4441502.523423732,62
1583,Dead By Crowd,396090.2673636727,4441501.129315085,62
4583,Dead By Crowd,396090.457199153,4441579.2897374425,63
1804,Dead By Crowd,396090.42670290294,4441566.733603123,63
