id,status,coord_x,coord_y,time
1320,Dead By Crowd,396208.6001226274,4440988.355178765,105
147,Dead By Crowd,396151.805987376,4440989.379781828,105
3582,Dead By Crowd,396131.87747477635,4440989.739305131,105
932,Dead By Crowd,396112.06194566813,4440989.972424217,105
1959,Dead By Crowd,396092.1967640539,4440990.10493333,105
689,Dead By Crowd,396216.56480263406,4440988.2055441765,107
411,Dead By Crowd,396210.3883337421,4440988.322586807,107
4009,Dead By Crowd,396188.19566634746,4440988.7232884,107
859,Dead By Crowd,396105.5299588288,4440990.015995314,107
1284,Dead By Crowd,396202.0236310304,4440988.473822942,108
2794,Dead By Crowd,396159.9448491491,4440989.23295148,108
3944,Dead By Crowd,396104.225036543,4440990.024699695,108
4496,Dead By Crowd,396089.4592762598,4440990.123193525,108
1227,Dead By Crowd,396199.62598643993,4440988.517078007,109
2162,Dead By Crowd,396168.58620481077,4440989.077055815,109
2331,Dead By Crowd,396131.25652837614,4440989.750507408,109
1862,Dead By Crowd,396133.61322817294,4440989.707991013,109
2281,Dead By Crowd,396110.830930834,4440989.980635603,109
1432,Dead By Crowd,396103.5730882728,4440990.029048464,109
2011,Dead By Crowd,396094.4895569546,4440990.089639437,109
1066,Dead By Crowd,396092.47887773113,4440990.103051513,109
2652,Dead By Crowd,396183.0099387306,4440988.816842292,113
3624,Dead By Crowd,396111.628328966,4440989.975316622,113
2260,Dead By Crowd,396094.14178419096,4440990.091959228,113
1093,Dead By Crowd,396192.28107798443,4440988.649584922,115
3766,Dead By Crowd,396168.38151426177,4440989.080748565,115
2865,Dead By Crowd,396170.73914459505,4440989.038215383,115
220,Dead By Crowd,396163.5230137106,4440989.1683990685,115
263,Dead By Crowd,396104.8605426551,4440990.020460602,115
3618,Dead By Crowd,396103.3090552675,4440990.030809675,115
2818,Dead By Crowd,396096.344632496,4440990.077265304,115
495,Dead By Crowd,396091.6975138055,4440990.108263539,115
2712,Dead By Crowd,396214.2513766931,4440988.249383054,122
2001,Dead By Crowd,396222.57159204123,4440988.091716933,122
4632,Dead By Crowd,396209.0006487932,4440988.347953012,122
292,Dead By Crowd,396154.2834523931,4440989.335086752,122
585,Dead By Crowd,396124.00986000773,4440989.881242009,122
2363,Dead By Crowd,396105.33766754344,4440990.017277978,122
1272,Dead By Crowd,396096.4687236428,4440990.076437564,122
1176,Dead By Crowd,396177.75862975523,4440988.911579315,127
1302,Dead By Crowd,396129.12193014816,4440989.789016945,127
1440,Dead By Crowd,396107.9262355921,4440990.000011141,127
4402,Dead By Crowd,396105.4892379733,4440990.01626694,127
2239,Dead By Crowd,396098.3109686666,4440990.064149015,127
3461,Dead By Crowd,396190.21554663696,4440988.686848449,138
1460,Dead By Crowd,396118.06975868635,4440989.932349578,138
1116,Dead By Crowd,396119.34936575,4440989.92381406,138
4314,Dead By Crowd,396101.5299177365,4440990.042677271,138
2642,Dead By Crowd,396216.87299333076,4440988.199704036,145
2573,Dead By Crowd,396216.5775270615,4440988.205303052,145
1775,Dead By Crowd,396157.45319190505,4440989.277902594,145
2764,Dead By Crowd,396134.66576706426,4440989.689002529,145
4261,Dead By Crowd,396123.7900596757,4440989.885207349,145
3781,Dead By Crowd,396106.6437515675,4440990.008565849,145
4943,Dead By Crowd,396101.3250274159,4440990.044043975,145
398,Dead By Crowd,396208.3858292799,4440988.359044756,175
1524,Dead By Crowd,396194.52185990906,4440988.609159762,175
1872,Dead By Crowd,396176.23195413995,4440988.939121534,175
1891,Dead By Crowd,396182.79706931266,4440988.820682595,175
2623,Dead By Crowd,396186.40158466384,4440988.755654798,175
4946,Dead By Crowd,396150.7458733036,4440989.398906975,175
4963,Dead By Crowd,396127.4685019821,4440989.8188458625,175
627,Dead By Crowd,396098.249106723,4440990.0645616595,175
3145,Dead By Crowd,396088.31094188185,4440990.130853398,175
4454,Dead By Crowd,396192.91805663105,4440988.638093414,183
3115,Dead By Crowd,396174.8591449983,4440988.963887902,183
3971,Dead By Crowd,396166.2923673205,4440989.118438131,183
2549,Dead By Crowd,396156.80589222605,4440989.2895802995,183
1586,Dead By Crowd,396165.4308329618,4440989.133980771,183
3499,Dead By Crowd,396153.3060457875,4440989.3527198015,183
3037,Dead By Crowd,396150.4093802358,4440989.404977528,183
4007,Dead By Crowd,396113.45031052403,4440989.963163239,183
3245,Dead By Crowd,396111.2972259486,4440989.977525218,183
1335,Dead By Crowd,396107.06170910795,4440990.005777896,183
3356,Dead By Crowd,396186.7326195123,4440988.749682714,189
2389,Dead By Crowd,396150.35704778705,4440989.405921639,189
3122,Dead By Crowd,396119.17223648465,4440989.924995587,189
317,Dead By Crowd,396160.4408852554,4440989.224002666,190
1846,Dead By Crowd,396145.5918177451,4440989.491889482,190
2443,Dead By Crowd,396121.737930155,4440989.907881332,190
4811,Dead By Crowd,396115.0577407223,4440989.952441003,190
896,Dead By Crowd,396093.691231279,4440990.094964605,190
2377,Dead By Crowd,396092.3502046218,4440990.103909817,190
3780,Dead By Crowd,396208.2894979654,4440988.360782635,192
1017,Dead By Crowd,396112.01261079405,4440989.9727533,192
221,Dead By Crowd,396108.9156413939,4440989.993411388,192
445,Dead By Crowd,396097.8638102281,4440990.067131749,192
37,Dead By Crowd,396089.4051101082,4440990.123554836,192
2446,Dead By Crowd,396198.54641662154,4440988.536554147,195
2430,Dead By Crowd,396186.202149202,4440988.759252744,195
3225,Dead By Crowd,396170.32352300256,4440989.045713467,195
4015,Dead By Crowd,396167.59458501474,4440989.094945279,195
2010,Dead By Crowd,396136.1504782409,4440989.662217375,195
841,Dead By Crowd,396136.2112959668,4440989.661120184,195
4659,Dead By Crowd,396128.6962176364,4440989.796697075,195
800,Dead By Crowd,396125.1649150427,4440989.860404066,195
116,Dead By Crowd,396210.26891720766,4440988.324849722,197
1962,Dead By Crowd,396218.720655059,4440988.1646912815,197
1238,Dead By Crowd,396221.2121788988,4440988.1174774915,197
3686,Dead By Crowd,396205.05951618304,4440988.419053603,197
384,Dead By Crowd,396187.50744578126,4440988.735704346,197
92,Dead By Crowd,396187.70264965954,4440988.732182741,197
3047,Dead By Crowd,396156.24089048506,4440989.299773298,197
2649,Dead By Crowd,396152.02007333946,4440989.375919579,197
1531,Dead By Crowd,396137.94375002536,4440989.629865589,197
167,Dead By Crowd,396131.18365638744,4440989.751822066,197
3883,Dead By Crowd,396108.6825398373,4440989.994966274,197
3995,Dead By Crowd,396097.9760459991,4440990.06638309,197
1240,Dead By Crowd,396212.32092756423,4440988.285964609,200
1438,Dead By Crowd,396201.7897105298,4440988.47804302,200
2506,Dead By Crowd,396200.59407828236,4440988.499613001,200
2938,Dead By Crowd,396197.3205688167,4440988.5586692365,200
941,Dead By Crowd,396185.09819171246,4440988.779168853,200
1764,Dead By Crowd,396164.26379449223,4440989.1550349025,200
1805,Dead By Crowd,396147.5153401497,4440989.45718789,200
2246,Dead By Crowd,396099.43776741065,4440990.0566327935,200
4286,Dead By Crowd,396092.82420759666,4440990.100748017,200
1111,Dead By Crowd,396134.0544269846,4440989.7000315,217
2236,Dead By Crowd,396113.34583560535,4440989.963860131,217
1910,Dead By Crowd,396209.17411276884,4440988.34482361,218
405,Dead By Crowd,396212.74591437617,4440988.2779112095,218
2031,Dead By Crowd,396156.8072633071,4440989.2895555645,218
1539,Dead By Crowd,396134.3783303025,4440989.694188074,218
928,Dead By Crowd,396120.697169649,4440989.914823641,218
601,Dead By Crowd,396102.06869876815,4440990.039083375,218
3706,Dead By Crowd,396362.8781731127,4440923.529833377,41
1863,Dead By Crowd,396332.88915422634,4440923.6593903685,41
1711,Dead By Crowd,396234.8762785408,4440924.093184119,41
2848,Dead By Crowd,396232.5086453563,4440924.103662992,41
3092,Dead By Crowd,396362.4047433523,4440923.531777613,42
4834,Dead By Crowd,396305.3964628671,4440923.781069868,42
2353,Dead By Crowd,396290.4652244133,4440923.847153818,42
3602,Dead By Crowd,396261.6532693811,4440923.974672228,42
2812,Dead By Crowd,396238.77716646116,4440924.075919236,42
3506,Dead By Crowd,396237.0798575084,4440924.083431331,42
3058,Dead By Crowd,396233.7603044051,4440924.098123292,42
3644,Dead By Crowd,396235.0205513884,4440924.092545584,42
1256,Dead By Crowd,396361.74097034807,4440923.534503531,44
377,Dead By Crowd,396345.20712937484,4440923.604872423,44
137,Dead By Crowd,396317.71852467436,4440923.726533836,44
2780,Dead By Crowd,396324.4213326816,4440923.696867976,44
3829,Dead By Crowd,396297.9216051558,4440923.814152732,44
2685,Dead By Crowd,396265.9296288208,4440923.955745551,44
472,Dead By Crowd,396224.2811627445,4440924.140211068,44
4799,Dead By Crowd,396223.2637962638,4440924.144762763,44
1877,Dead By Crowd,396355.50517179637,4440923.560112101,47
3088,Dead By Crowd,396350.1502333458,4440923.582994811,47
2383,Dead By Crowd,396325.43707625417,4440923.6923724115,47
4450,Dead By Crowd,396301.39290689863,4440923.798789148,47
3485,Dead By Crowd,396265.8847950437,4440923.95594398,47
4847,Dead By Crowd,396240.551173134,4440924.068067687,47
3105,Dead By Crowd,396233.40159862634,4440924.099710884,47
3633,Dead By Crowd,396230.08255512494,4440924.11440059,47
3094,Dead By Crowd,396226.95701544324,4440924.128239311,47
375,Dead By Crowd,396338.6554985477,4440923.63386919,52
4803,Dead By Crowd,396283.0777595389,4440923.87984989,52
1580,Dead By Crowd,396250.264631705,4440924.025077032,52
2309,Dead By Crowd,396248.14205235214,4440924.034471326,52
661,Dead By Crowd,396242.54512652545,4440924.059242677,52
2324,Dead By Crowd,396296.38806422637,4440923.820940008,53
1985,Dead By Crowd,396278.45527604735,4440923.900308473,53
4812,Dead By Crowd,396255.5470402836,4440924.001697698,53
251,Dead By Crowd,396245.0740252379,4440924.048050062,53
1658,Dead By Crowd,396226.6992551302,4440924.12939253,53
3067,Dead By Crowd,396285.1875938819,4440923.870512006,56
1653,Dead By Crowd,396287.24797742587,4440923.861392984,56
127,Dead By Crowd,396266.3433585077,4440923.953914431,56
3210,Dead By Crowd,396261.7271610108,4440923.974345192,56
4380,Dead By Crowd,396226.0624209155,4440924.132241724,56
2015,Dead By Crowd,396359.13784817536,4440923.545193779,57
2427,Dead By Crowd,396344.37654164986,4440923.608548509,57
4354,Dead By Crowd,396293.5568813503,4440923.833470499,57
2582,Dead By Crowd,396286.8112624183,4440923.863325835,57
2280,Dead By Crowd,396291.34066606866,4440923.843279214,57
4930,Dead By Crowd,396237.7341959164,4440924.080535305,57
22,Dead By Crowd,396228.54347874015,4440924.121212365,57
3825,Dead By Crowd,396228.584719518,4440924.121029838,57
1569,Dead By Crowd,396352.25052205013,4440923.573699174,60
1913,Dead By Crowd,396325.8015469753,4440923.690759306,60
2821,Dead By Crowd,396337.71570814704,4440923.638028595,60
2472,Dead By Crowd,396269.67455692147,4440923.939170929,60
641,Dead By Crowd,396267.2855412036,4440923.949744439,60
335,Dead By Crowd,396244.5967345506,4440924.050162495,60
1843,Dead By Crowd,396239.84668479435,4440924.071185671,60
3214,Dead By Crowd,396241.17059998994,4440924.065326174,60
749,Dead By Crowd,396234.36287513183,4440924.095456384,60
3493,Dead By Crowd,396232.5485483854,4440924.103486386,60
4976,Dead By Crowd,396224.7044332686,4440924.138317357,60
3134,Dead By Crowd,396222.25439870614,4440924.149278805,60
385,Dead By Crowd,396362.0727843168,4440923.53314087,62
4113,Dead By Crowd,396331.3306676256,4440923.666288052,62
4501,Dead By Crowd,396310.8482007681,4440923.7569411015,62
4054,Dead By Crowd,396283.83654008503,4440923.876491615,62
334,Dead By Crowd,396267.5835569103,4440923.948425455,62
779,Dead By Crowd,396259.47098355356,4440923.984330774,62
912,Dead By Crowd,396251.56673307315,4440924.019314081,62
4049,Dead By Crowd,396241.07072747755,4440924.065768198,62
174,Dead By Crowd,396241.1352100224,4440924.065482806,62
2045,Dead By Crowd,396234.0464065945,4440924.096857037,62
1825,Dead By Crowd,396228.9068269655,4440924.119604227,62
1572,Dead By Crowd,396347.2540415158,4440923.595813025,65
2505,Dead By Crowd,396331.3446133684,4440923.666226329,65
2751,Dead By Crowd,396330.3314039058,4440923.670710678,65
1644,Dead By Crowd,396282.3052184588,4440923.883269069,65
4232,Dead By Crowd,396266.6029947082,4440923.952765311,65
3259,Dead By Crowd,396258.2874856048,4440923.989568801,65
3777,Dead By Crowd,396250.6835729351,4440924.023222847,65
4700,Dead By Crowd,396253.19749439094,4440924.012096519,65
4418,Dead By Crowd,396252.59419405024,4440924.014766657,65
331,Dead By Crowd,396248.63640901033,4440924.032283359,65
764,Dead By Crowd,396245.8364801477,4440924.044675523,65
3579,Dead By Crowd,396232.5909802796,4440924.103298588,65
3771,Dead By Crowd,396230.7546888368,4440924.111425803,65
3798,Dead By Crowd,396226.7317290836,4440924.129247242,65
4322,Dead By Crowd,396226.16770022205,4440924.131770705,65
2147,Dead By Crowd,396224.8949783473,4440924.137464859,65
547,Dead By Crowd,396223.5093401777,4440924.1436642,65
2339,Dead By Crowd,396273.1318866689,4440923.923869183,70
3332,Dead By Crowd,396257.7349023604,4440923.9920144705,70
3538,Dead By Crowd,396252.3330826316,4440924.015922306,70
372,Dead By Crowd,396257.72122834966,4440923.992074991,70
1197,Dead By Crowd,396245.2342073958,4440924.047341114,70
4470,Dead By Crowd,396234.33961417916,4440924.095559334,70
4694,Dead By Crowd,396227.99170131196,4440924.123654469,70
2809,Dead By Crowd,396222.25439870614,4440924.149278805,70
4375,Dead By Crowd,396346.3846392861,4440923.5996608995,72
4755,Dead By Crowd,396330.43673903635,4440923.670244477,72
2836,Dead By Crowd,396256.35142595065,4440923.998137579,72
218,Dead By Crowd,396246.1270697067,4440924.043389407,72
3591,Dead By Crowd,396244.41501532245,4440924.050966764,72
1443,Dead By Crowd,396240.6192405222,4440924.067766428,72
1428,Dead By Crowd,396237.89873901726,4440924.079807055,72
4505,Dead By Crowd,396234.30889691797,4440924.095695285,72
316,Dead By Crowd,396234.8619133093,4440924.093247698,72
1387,Dead By Crowd,396228.7032352328,4440924.120505301,72
4502,Dead By Crowd,396271.5878164962,4440923.930703062,76
1119,Dead By Crowd,396256.5897562585,4440923.997082756,76
199,Dead By Crowd,396251.5684212404,4440924.019306609,76
4547,Dead By Crowd,396235.3640728164,4440924.091025198,76
3871,Dead By Crowd,396344.4097364449,4440923.608401593,77
2313,Dead By Crowd,396317.46463508916,4440923.727657522,77
3268,Dead By Crowd,396240.3915725078,4440924.06877406,77
2270,Dead By Crowd,396237.669843009,4440924.080820123,77
4259,Dead By Crowd,396239.4455081791,4440924.072961233,77
2093,Dead By Crowd,396230.9923449954,4440924.110373964,77
2834,Dead By Crowd,396222.25439870614,4440924.149278805,77
921,Dead By Crowd,396363.37335840723,4440923.527799798,79
4302,Dead By Crowd,396266.03520861873,4440923.955278267,79
4987,Dead By Crowd,396235.1490793524,4440924.091976734,79
389,Dead By Crowd,396232.33927889564,4440924.104412588,79
1383,Dead By Crowd,396229.74482761906,4440924.115895333,79
102,Dead By Crowd,396223.3089063849,4440924.144560941,79
2408,Dead By Crowd,396222.25439870614,4440924.149278805,79
4457,Dead By Crowd,396288.7296110782,4440923.854835444,83
3125,Dead By Crowd,396257.97162454395,4440923.990966766,83
2571,Dead By Crowd,396252.8750880056,4440924.013523452,83
3833,Dead By Crowd,396256.65804733627,4440923.996780508,83
4891,Dead By Crowd,396250.9390029739,4440924.022092342,83
4082,Dead By Crowd,396235.0904548143,4440924.092236199,83
1714,Dead By Crowd,396232.0223191629,4440924.105815416,83
2297,Dead By Crowd,396227.61407301284,4440924.125325808,83
3820,Dead By Crowd,396222.25439870614,4440924.149278805,83
691,Dead By Crowd,396363.14081181167,4440923.528754798,86
1563,Dead By Crowd,396321.7435995833,4440923.708719316,86
481,Dead By Crowd,396247.71773004485,4440924.036349327,86
1371,Dead By Crowd,396235.8245820396,4440924.088987037,86
744,Dead By Crowd,396231.3879167944,4440924.1086232085,86
698,Dead By Crowd,396225.5952516072,4440924.134331838,86
2895,Dead By Crowd,396224.75357674743,4440924.138097489,86
2338,Dead By Crowd,396299.9442069536,4440923.805200928,88
3536,Dead By Crowd,396274.8497818303,4440923.916265977,88
4845,Dead By Crowd,396270.1102366487,4440923.937242661,88
4952,Dead By Crowd,396271.79248605337,4440923.929797217,88
632,Dead By Crowd,396274.07282529445,4440923.919704697,88
2816,Dead By Crowd,396235.05774529895,4440924.092380968,88
1168,Dead By Crowd,396360.5627627526,4440923.539342079,93
364,Dead By Crowd,396331.3859625626,4440923.6660433225,93
3520,Dead By Crowd,396294.2065465726,4440923.830595155,93
4619,Dead By Crowd,396289.9959949657,4440923.8492305735,93
2682,Dead By Crowd,396272.9516942655,4440923.924666694,93
1829,Dead By Crowd,396256.8291792195,4440923.996023098,93
3964,Dead By Crowd,396242.1662697136,4440924.060919454,93
2321,Dead By Crowd,396226.86440242757,4440924.128653661,93
3483,Dead By Crowd,396262.04341793194,4440923.972945475,96
2407,Dead By Crowd,396249.38037171395,4440924.028990665,96
2824,Dead By Crowd,396243.7736053493,4440924.053805571,96
369,Dead By Crowd,396238.71053287585,4440924.076214149,96
4198,Dead By Crowd,396225.4377916054,4440924.135036314,96
739,Dead By Crowd,396225.60493281524,4440924.134288524,96
4197,Dead By Crowd,396277.21426539554,4440923.905801044,98
758,Dead By Crowd,396260.3064587656,4440923.980633057,98
2856,Dead By Crowd,396262.12768504355,4440923.9725725185,98
3018,Dead By Crowd,396253.83078651514,4440924.00929364,98
1011,Dead By Crowd,396248.3484689112,4440924.033557749,98
3662,Dead By Crowd,396243.7747285952,4440924.0538006,98
3533,Dead By Crowd,396240.5744214082,4440924.067964792,98
1894,Dead By Crowd,396227.6705640698,4440924.125075785,98
4425,Dead By Crowd,396313.6318842482,4440923.744620838,102
1105,Dead By Crowd,396277.82176295685,4440923.903112329,102
3434,Dead By Crowd,396277.83367389627,4440923.903059612,102
4409,Dead By Crowd,396263.98487754515,4440923.964352798,102
3496,Dead By Crowd,396232.2636296958,4440924.104747403,102
4193,Dead By Crowd,396301.25938895077,4440923.799380084,104
559,Dead By Crowd,396293.9283150534,4440923.831826576,104
2746,Dead By Crowd,396244.94160801056,4440924.048636125,104
883,Dead By Crowd,396241.4151125178,4440924.06424399,104
4400,Dead By Crowd,396241.77792453393,4440924.062638225,104
4577,Dead By Crowd,396224.67377154354,4440924.138454538,104
1704,Dead By Crowd,396321.10066519293,4440923.71156487,106
1883,Dead By Crowd,396256.02897852066,4440923.999564694,106
1229,Dead By Crowd,396254.22150162,4440924.00756438,106
3863,Dead By Crowd,396252.4842234032,4440924.015253374,106
2413,Dead By Crowd,396246.01114872034,4440924.0439024605,106
3765,Dead By Crowd,396230.8596559947,4440924.1109612305,106
4460,Dead By Crowd,396229.7503651085,4440924.115870824,106
1848,Dead By Crowd,396228.13891264435,4440924.123002928,106
1585,Dead By Crowd,396327.1939540542,4440923.684596672,108
1107,Dead By Crowd,396306.24970710464,4440923.777293507,108
1244,Dead By Crowd,396284.03207154904,4440923.875626215,108
4531,Dead By Crowd,396245.4987473343,4440924.046170291,108
3658,Dead By Crowd,396364.59942764667,4440923.522764697,111
2580,Dead By Crowd,396343.24505840644,4440923.6135563245,111
3853,Dead By Crowd,396327.21514883626,4440923.684502866,111
545,Dead By Crowd,396316.72510329005,4440923.730930605,111
4234,Dead By Crowd,396315.61489269923,4440923.735844269,111
3035,Dead By Crowd,396309.55302284623,4440923.762673411,111
4001,Dead By Crowd,396275.55416990805,4440923.913148436,111
267,Dead By Crowd,396269.4663471855,4440923.940092441,111
3440,Dead By Crowd,396270.10434729443,4440923.937268726,111
3896,Dead By Crowd,396266.1808699322,4440923.954633587,111
2476,Dead By Crowd,396249.59929131484,4440924.028021753,111
348,Dead By Crowd,396246.39371646114,4440924.042209259,111
4500,Dead By Crowd,396323.73544780794,4440923.699903624,114
4618,Dead By Crowd,396317.75518128695,4440923.7263715975,114
1743,Dead By Crowd,396305.59159966855,4440923.780206216,114
1844,Dead By Crowd,396306.2579298777,4440923.777257115,114
4870,Dead By Crowd,396272.531476869,4440923.926526529,114
4894,Dead By Crowd,396255.4026240057,4440924.002336867,114
293,Dead By Crowd,396251.9370966633,4440924.017674894,114
3042,Dead By Crowd,396242.4279541489,4440924.059761269,114
2706,Dead By Crowd,396235.85175192024,4440924.088866786,114
541,Dead By Crowd,396229.5816563196,4440924.11661751,114
1865,Dead By Crowd,396321.7087942592,4440923.70887336,118
4671,Dead By Crowd,396294.2752010077,4440923.830291298,118
3708,Dead By Crowd,396295.6861455125,4440923.82404662,118
3376,Dead By Crowd,396268.36967603,4440923.944946182,118
2425,Dead By Crowd,396258.79498061584,4440923.987322686,118
2806,Dead By Crowd,396231.3602708027,4440924.108745567,118
3667,Dead By Crowd,396231.4360955408,4440924.108409975,118
3919,Dead By Crowd,396228.44343840197,4440924.121655132,118
2057,Dead By Crowd,396223.4065575235,4440924.14412405,118
1756,Dead By Crowd,396222.25439870614,4440924.149278805,118
734,Dead By Crowd,396340.14251827693,4440923.627287811,120
2265,Dead By Crowd,396326.0006167951,4440923.689878246,120
791,Dead By Crowd,396303.57465310395,4440923.78913299,120
3806,Dead By Crowd,396261.49100025056,4440923.975390412,120
3380,Dead By Crowd,396263.8582960759,4440923.964913032,120
3155,Dead By Crowd,396259.1039554806,4440923.985955199,120
3260,Dead By Crowd,396260.08605822467,4440923.981608525,120
4246,Dead By Crowd,396244.76606834336,4440924.049413043,120
3725,Dead By Crowd,396241.1574152836,4440924.065384528,120
1760,Dead By Crowd,396239.377687656,4440924.073261399,120
2061,Dead By Crowd,396231.39749339304,4440924.108580823,120
3448,Dead By Crowd,396225.44867570885,4440924.134987619,120
1336,Dead By Crowd,396312.57342344715,4440923.749305464,124
3238,Dead By Crowd,396285.47398741,4440923.869244461,124
2235,Dead By Crowd,396256.3482643792,4440923.9981515715,124
1685,Dead By Crowd,396286.4620522898,4440923.864871399,125
4255,Dead By Crowd,396270.48513913335,4440923.935583385,125
1316,Dead By Crowd,396271.53980473476,4440923.930915556,125
2742,Dead By Crowd,396259.448612879,4440923.984429785,125
1128,Dead By Crowd,396230.4904312556,4440924.112595377,125
1823,Dead By Crowd,396229.73923161754,4440924.115920099,125
1480,Dead By Crowd,396228.2821356111,4440924.12236904,125
3720,Dead By Crowd,396223.29541914724,4440924.144621282,125
2937,Dead By Crowd,396335.736206001,4440923.646789644,126
1051,Dead By Crowd,396290.5555685761,4440923.846753965,126
2767,Dead By Crowd,396249.82682883035,4440924.027014698,126
2129,Dead By Crowd,396245.66245932295,4440924.04544572,126
3986,Dead By Crowd,396244.80491054663,4440924.049241132,126
4895,Dead By Crowd,396227.68588421703,4440924.1250079805,126
1890,Dead By Crowd,396223.231464689,4440924.144907414,126
718,Dead By Crowd,396223.3194128782,4440924.144513934,126
1982,Dead By Crowd,396222.25439870614,4440924.149278805,126
4739,Dead By Crowd,396303.77345406445,4440923.788253119,128
3283,Dead By Crowd,396293.46831418364,4440923.833862487,128
2207,Dead By Crowd,396276.65610792243,4440923.908271384,128
230,Dead By Crowd,396246.0986548051,4440924.043515168,128
2429,Dead By Crowd,396240.8639867529,4440924.0666832095,128
3991,Dead By Crowd,396354.8217273017,4440923.562918805,130
3859,Dead By Crowd,396312.5505293563,4440923.74940679,130
2081,Dead By Crowd,396279.1801008139,4440923.897100481,130
3726,Dead By Crowd,396268.2145428231,4440923.945632784,130
4589,Dead By Crowd,396319.4011184417,4440923.719086869,132
2465,Dead By Crowd,396305.66213397303,4440923.779894039,132
1695,Dead By Crowd,396293.1807395978,4440923.83513526,132
3074,Dead By Crowd,396287.73408530385,4440923.859241527,132
4385,Dead By Crowd,396265.3600087189,4440923.958266624,132
4538,Dead By Crowd,396245.6254380638,4440924.045609572,132
3331,Dead By Crowd,396235.72099305183,4440924.08944551,132
1374,Dead By Crowd,396230.8969899551,4440924.110795994,132
2645,Dead By Crowd,396226.95262875693,4440924.128258937,132
1045,Dead By Crowd,396303.0521860406,4440923.791445369,135
878,Dead By Crowd,396262.38610834297,4440923.971428767,135
1975,Dead By Crowd,396257.9789591171,4440923.990934304,135
4725,Dead By Crowd,396255.85189968144,4440924.000348425,135
4983,Dead By Crowd,396250.0632126862,4440924.02596849,135
142,Dead By Crowd,396242.33986021637,4440924.060151163,135
148,Dead By Crowd,396229.69052907394,4440924.116135652,135
4944,Dead By Crowd,396337.992090379,4440923.636805358,137
645,Dead By Crowd,396273.8826162004,4440923.920546541,137
1803,Dead By Crowd,396275.01263334946,4440923.915545215,137
349,Dead By Crowd,396272.0046877824,4440923.928858037,137
2579,Dead By Crowd,396237.9147478326,4440924.079736202,137
493,Dead By Crowd,396223.2782784071,4440924.14469797,137
3657,Dead By Crowd,396303.31448728865,4440923.790284454,139
390,Dead By Crowd,396308.70186994347,4440923.766440515,139
3308,Dead By Crowd,396297.3031877476,4440923.816889776,139
654,Dead By Crowd,396245.9874974191,4440924.044007138,139
1761,Dead By Crowd,396234.5644791882,4440924.094564107,139
1329,Dead By Crowd,396319.9950490918,4440923.7164582,141
2869,Dead By Crowd,396304.122909572,4440923.786706469,141
2035,Dead By Crowd,396308.0673714686,4440923.769248733,141
1138,Dead By Crowd,396278.84678539046,4440923.898575697,141
1057,Dead By Crowd,396242.84341840283,4440924.057922471,141
416,Dead By Crowd,396229.52296138956,4440924.116877287,141
1288,Dead By Crowd,396227.0579166111,4440924.12778788,141
3106,Dead By Crowd,396227.1718162695,4440924.127283186,141
760,Dead By Crowd,396224.5112781356,4440924.139181533,141
1310,Dead By Crowd,396320.8918900741,4440923.712488884,144
1452,Dead By Crowd,396309.6038842214,4440923.762448304,144
3691,Dead By Crowd,396306.63772978645,4440923.775576163,144
3023,Dead By Crowd,396242.8815159919,4440924.057753856,144
4047,Dead By Crowd,396240.90990941745,4440924.06647996,144
3439,Dead By Crowd,396233.5917352634,4440924.09886936,144
1710,Dead By Crowd,396289.0689813822,4440923.853333429,146
534,Dead By Crowd,396264.7477179841,4440923.960976553,146
3889,Dead By Crowd,396264.8530199736,4440923.960510499,146
141,Dead By Crowd,396243.82676304266,4440924.053570301,146
3846,Dead By Crowd,396241.02235909674,4440924.065982271,146
2594,Dead By Crowd,396237.9234213826,4440924.079697815,146
860,Dead By Crowd,396224.43774845585,4440924.139510504,146
1813,Dead By Crowd,396338.5942987287,4440923.634140053,147
3347,Dead By Crowd,396317.8276303968,4440923.726050946,147
1110,Dead By Crowd,396301.82244766783,4440923.79688805,147
4717,Dead By Crowd,396274.79579441634,4440923.916504919,147
3752,Dead By Crowd,396273.0673380838,4440923.924154868,147
110,Dead By Crowd,396256.31054367824,4440923.998318519,147
1507,Dead By Crowd,396233.2881419809,4440924.100213029,147
3696,Dead By Crowd,396223.338162551,4440924.144430049,147
501,Dead By Crowd,396321.5637635664,4440923.709515249,149
3816,Dead By Crowd,396326.4233289918,4440923.68800737,149
59,Dead By Crowd,396316.32906828355,4440923.732683411,149
2955,Dead By Crowd,396303.9627702991,4440923.787415228,149
3908,Dead By Crowd,396265.65081011585,4440923.956979571,149
1977,Dead By Crowd,396259.40737033804,4440923.98461232,149
3396,Dead By Crowd,396248.6344086919,4440924.032292212,149
3038,Dead By Crowd,396233.1899874283,4440924.10064745,149
140,Dead By Crowd,396227.53589915525,4440924.1256717965,149
4998,Dead By Crowd,396224.66109435953,4440924.138511255,149
1331,Dead By Crowd,396223.5878013046,4440924.143313165,149
4012,Dead By Crowd,396285.1277358473,4440923.870776931,155
328,Dead By Crowd,396272.2114200831,4440923.927943063,155
4179,Dead By Crowd,396263.0511652705,4440923.9684853,155
4783,Dead By Crowd,396264.2196433367,4440923.963313751,155
