id,status,coord_x,coord_y,time
483,Dead By Crowd,396260.4936319296,4441472.722027062,213
1785,Dead By Crowd,396260.65214901423,4441476.702341335,213
4383,Dead By Crowd,396259.72150857723,4441453.334251876,213
2005,Dead By Crowd,396259.6366200996,4441451.20272883,213
1134,Dead By Crowd,396258.1603544638,4441398.628370064,213
3262,Dead By Crowd,396258.00284753373,4441392.45370317,213
3661,Dead By Crowd,396260.8923975239,4441482.734906055,215
657,Dead By Crowd,396259.8104782061,4441455.56825135,215
2180,Dead By Crowd,396257.9725515471,4441391.266024472,215
1433,Dead By Crowd,396261.2573025976,4441491.897557994,216
26,Dead By Crowd,396260.54422875395,4441473.992497452,216
3197,Dead By Crowd,396259.9830162876,4441459.900628457,216
2333,Dead By Crowd,396259.6338961864,4441451.134332224,216
2913,Dead By Crowd,396259.2248564787,4441440.35952023,216
1925,Dead By Crowd,396258.5893239384,4441415.445049894,216
3519,Dead By Crowd,396258.61893045704,4441416.605699716,216
169,Dead By Crowd,396258.0004896146,4441392.361266824,216
3117,Dead By Crowd,396261.22292512533,4441491.034350449,220
2668,Dead By Crowd,396261.2524458303,4441491.775606092,220
1842,Dead By Crowd,396260.9833799691,4441485.019446714,220
4212,Dead By Crowd,396258.3650935737,4441406.654656932,220
4659,Dead By Crowd,396258.1321568585,4441397.5229531815,220
3208,Dead By Crowd,396258.08716476255,4441395.75915012,220
770,Dead By Crowd,396258.0549248384,4441394.495264194,220
4577,Dead By Crowd,396260.3527568136,4441469.184697088,222
2170,Dead By Crowd,396259.8852824941,4441457.446563559,222
3615,Dead By Crowd,396259.72128387965,4441453.328609791,222
4344,Dead By Crowd,396257.9725515471,4441391.266024472,222
2252,Dead By Crowd,396260.5134204729,4441473.218911178,223
3061,Dead By Crowd,396260.0037875935,4441460.422189433,223
2606,Dead By Crowd,396259.822814625,4441455.878014959,223
4663,Dead By Crowd,396258.3066307235,4441404.3627665015,223
4743,Dead By Crowd,396257.9988857622,4441392.298391785,223
4830,Dead By Crowd,396257.9725515471,4441391.266024472,223
3156,Dead By Crowd,396260.65312472015,4441476.7268410055,224
3044,Dead By Crowd,396260.5698864896,4441474.636755146,224
4461,Dead By Crowd,396260.13158795575,4441463.631216442,224
