id,status,coord_x,coord_y,time
417,Dead By Crowd,395839.09343918326,4441394.646532382,81
4499,Dead By Crowd,395882.00191183673,4441394.034096139,81
875,Dead By Crowd,395886.92547236633,4441393.963833414,81
4586,Dead By Crowd,395936.5370643925,4441393.257740396,81
2514,Dead By Crowd,395941.1172671592,4441393.192576652,81
4197,Dead By Crowd,395975.96168196906,4441392.69043471,81
1478,Dead By Crowd,395867.2712882964,4441394.2443392435,86
3367,Dead By Crowd,395918.2720327842,4441393.516047085,86
2631,Dead By Crowd,395930.07599992363,4441393.3496636525,86
1818,Dead By Crowd,395940.43856599845,4441393.202232711,86
2028,Dead By Crowd,395959.4219512536,4441392.929066475,86
1697,Dead By Crowd,395965.0471241441,4441392.8479076605,86
2576,Dead By Crowd,395838.1522411641,4441394.659966459,90
4568,Dead By Crowd,395881.407727795,4441394.042575569,90
1842,Dead By Crowd,395907.873053283,4441393.661782467,90
870,Dead By Crowd,395926.73043426,4441393.3972618915,90
1446,Dead By Crowd,395945.95297029853,4441393.123394106,90
4019,Dead By Crowd,395971.593579261,4441392.75345678,90
4213,Dead By Crowd,395877.26106341387,4441394.10175143,104
4366,Dead By Crowd,395873.2247653408,4441394.159363005,104
4757,Dead By Crowd,395882.4693301465,4441394.0274257455,104
2668,Dead By Crowd,395947.6937019604,4441393.098279194,104
3159,Dead By Crowd,395964.12239135435,4441392.861249511,104
3180,Dead By Crowd,395969.6745128605,4441392.7811446665,104
2592,Dead By Crowd,394912.54443569394,4440992.544161119,54
2518,Dead By Crowd,394954.5478796518,4440992.6017526975,54
692,Dead By Crowd,394958.54452850355,4440992.608869536,54
3483,Dead By Crowd,394969.37228229106,4440992.623124538,54
3360,Dead By Crowd,394971.00607112236,4440992.625165784,54
954,Dead By Crowd,394976.79372457735,4440992.632396846,54
2280,Dead By Crowd,394982.11554401385,4440992.639045897,54
731,Dead By Crowd,394985.99663122435,4440992.643894905,54
1809,Dead By Crowd,394890.5458199442,4440992.512290756,56
133,Dead By Crowd,394904.79377234716,4440992.532932391,56
1544,Dead By Crowd,394976.24883186497,4440992.6317160595,56
2149,Dead By Crowd,394999.2572812877,4440992.660462686,56
4257,Dead By Crowd,394970.0958218041,4440992.624028523,61
2550,Dead By Crowd,394977.7635026145,4440992.633608481,61
1936,Dead By Crowd,394977.6821547963,4440992.633506846,61
3263,Dead By Crowd,394985.59677996975,4440992.643395334,61
4831,Dead By Crowd,394993.0455876738,4440992.652701831,61
2819,Dead By Crowd,394995.23883717833,4440992.655442065,61
3466,Dead By Crowd,394882.3124330096,4440992.500362687,64
3374,Dead By Crowd,394890.1808540382,4440992.511762015,64
